Designator,Device,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,SMD,Comment
"C1"	,"10TPB220M"	,"CAP-SMD_L7.3-W4.3-FD"	,"49.849mm"	,"-73.787mm"	,"49.849mm"	,"-73.787mm"	,"49.849mm"	,"-70.35mm"	,"B"	,"-90"	,"Yes"	,"220uF"	,
"C2"	,"CL21A225KAFNNNE"	,"C0805"	,"53.405mm"	,"-71.374mm"	,"53.405mm"	,"-71.374mm"	,"53.405mm"	,"-72.374mm"	,"B"	,"90"	,"Yes"	,"2.2uF"	,
"MS1"	,"FEATHERWING_NOSCREW"	,"FEATHERWING_NO_SCREW"	,"36.576mm"	,"-113.411mm"	,"27.686mm"	,"-90.551mm"	,"46.736mm"	,"-132.461mm"	,"T"	,"90"	,"No"	,"FEATHERWING_NOSCREW"	,
"Q1"	,"MMBT3904"	,"SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR"	,"51.204mm"	,"-29.042mm"	,"51.204mm"	,"-29.042mm"	,"50.254mm"	,"-30.042mm"	,"T"	,"-90"	,"Yes"	,"MMBT3904_C84104"	,
"Q3"	,"MMBT3904"	,"SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR"	,"59.205mm"	,"-29.042mm"	,"59.205mm"	,"-29.042mm"	,"58.255mm"	,"-30.042mm"	,"T"	,"-90"	,"Yes"	,"MMBT3904_C84104"	,
"Q5"	,"MMBT3904"	,"SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR"	,"46.632mm"	,"-41.234mm"	,"46.632mm"	,"-41.234mm"	,"45.682mm"	,"-42.234mm"	,"T"	,"-90"	,"Yes"	,"MMBT3904_C84104"	,
"Q7"	,"MMBT3904"	,"SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR"	,"42.314mm"	,"-28.788mm"	,"42.314mm"	,"-28.788mm"	,"41.364mm"	,"-29.788mm"	,"T"	,"-90"	,"Yes"	,"MMBT3904_C84104"	,
"Q9"	,"MMBT3904"	,"SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR"	,"33.551mm"	,"-29.169mm"	,"33.551mm"	,"-29.169mm"	,"32.601mm"	,"-30.169mm"	,"T"	,"-90"	,"Yes"	,"MMBT3904_C84104"	,
"Q11"	,"MMBT3904"	,"SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR"	,"28.725mm"	,"-41.615mm"	,"28.725mm"	,"-41.615mm"	,"27.775mm"	,"-42.615mm"	,"T"	,"-90"	,"Yes"	,"MMBT3904_C84104"	,
"Q13"	,"MMBT3904"	,"SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR"	,"24.28mm"	,"-28.661mm"	,"24.28mm"	,"-28.661mm"	,"23.33mm"	,"-29.661mm"	,"T"	,"-90"	,"Yes"	,"MMBT3904_C84104"	,
"Q15"	,"MMBT3904"	,"SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR"	,"15.517mm"	,"-29.042mm"	,"15.517mm"	,"-29.042mm"	,"14.567mm"	,"-30.042mm"	,"T"	,"-90"	,"Yes"	,"MMBT3904_C84104"	,
